"variable","question","choices"
"women_pos1",NA,""
"women_id_pregpast",NA,""
"women_study_id_pregpast",NA,""
"ancpast_adopt","Does your youngest under 2 years old child is adopted child or not?","1=Yes; 0=No"
"ancpast_yn","During your pregnancy for your youngest child less than 24 months old, did you attend antenatal care sessions?","1=Yes; 0=No"
"ancpast_who","In the antenatal care sessions that you attended, whom did you see?","1=Specialist; 2=Doctor; 3=Nurse; 4=Health assistant; 5=Private doctor; 6=LHV; 7=Midwife; 8=AMW; 9=TBA; 10=Community Health Worker; 11=Ethnic health worker; 888=Other (specify):"
"ancpast_who_oth","Others Specify",""
"ancpast_spelist_where","Where did you receive care from the specialist?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_spelist_where_oth","Others Specify",""
"ancpast_spelist_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_spelist_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_spelist_visit","How many antenatal care sessions have you attended?",""
"ancpast_spelist_1tri_times","Number of visits in First Trimester",""
"ancpast_spelist_2tri_times","Number of visits in Second Trimester",""
"ancpast_spelist_3tri_times","Number of visits in Third Trimester",""
"ancpast_doc_where","Where did you receive care from the Doctors?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_doc_where_oth","Others Specify",""
"ancpast_doc_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_doc_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_doc_visit","How many antenatal care sessions have you attended?",""
"ancpast_doc_1tri_times","Number of visits in First Trimester",""
"ancpast_doc_2tri_times","Number of visits in Second Trimester",""
"ancpast_doc_3tri_times","Number of visits in Third Trimester",""
"ancpast_nurs_where","Where did you receive care from the Nurse?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_nurs_where_oth","Others Specify",""
"ancpast_nurs_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_nurs_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_nurs_visit","How many antenatal care sessions have you attended?",""
"ancpast_nurs_1tri_times","Number of visits in First Trimester",""
"ancpast_nurs_2tri_times","Number of visits in Second Trimester",""
"ancpast_nurs_3tri_times","Number of visits in Third Trimester",""
"ancpast_ha_where","Where did you receive care from the Health Assistant?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_ha_where_oth","Others Specify",""
"ancpast_ha_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_ha_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_ha_visit","How many antenatal care sessions have you attended?",""
"ancpast_ha_1tri_times","Number of visits in First Trimester",""
"ancpast_ha_2tri_times","Number of visits in Second Trimester",""
"ancpast_ha_3tri_times","Number of visits in Third Trimester",""
"ancpast_pdoc_where","Where did you receive care from the Private Doctor?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_pdoc_where_oth","Others Specify",""
"ancpast_pdoc_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_pdoc_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_pdoc_visit","How many antenatal care sessions have you attended?",""
"ancpast_pdoc_1tri_times","Number of visits in First Trimester",""
"ancpast_pdoc_2tri_times","Number of visits in Second Trimester",""
"ancpast_pdoc_3tri_times","Number of visits in Third Trimester",""
"ancpast_lhv_where","Where did you receive care from the Lady Health Visitor?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_lhv_where_oth","Others Specify",""
"ancpast_lhv_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_lhv_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_lhv_visit","How many antenatal care sessions have you attended?",""
"ancpast_lhv_1tri_times","Number of visits in First Trimester",""
"ancpast_lhv_2tri_times","Number of visits in Second Trimester",""
"ancpast_lhv_3tri_times","Number of visits in Third Trimester",""
"ancpast_mw_where","Where did you receive care from the Midwife?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_mw_where_oth","Others Specify",""
"ancpast_mw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_mw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_mw_visit","How many antenatal care sessions have you attended?",""
"ancpast_mw_1tri_times","Number of visits in First Trimester",""
"ancpast_mw_2tri_times","Number of visits in Second Trimester",""
"ancpast_mw_3tri_times","Number of visits in Third Trimester",""
"ancpast_amw_where","Where did you receive care from the Auxillary Midwife?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_amw_where_oth","Others Specify",""
"ancpast_amw_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_amw_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancpast_amw_visit","How many antenatal care sessions have you attended?",""
"ancpast_amw_1tri_times","Number of visits in First Trimester",""
"ancpast_amw_2tri_times","Number of visits in Second Trimester",""
"ancpast_amw_3tri_times","Number of visits in Third Trimester",""
"ancpast_tba_where","Where did you receive care from the Traditional Birth Attendance?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancpast_tba_where_oth","Others Specify",""
