sr_pcode,state_region,ts_pcode,township,vt_pcode,village_tract,village_pcode,village,village_mya_mmr3
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002021,Me Law Khee,169447,Htee Moet Khee,ထီးမို့ခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002021,Me Law Khee,169445,Me Law Khee,မဲလောခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002021,Me Law Khee,169446,Saw Hpoe Khee,စောဖိုးခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002021,Me Law Khee,169449,War Mi Ku Lar,ဝါးမီကုလား
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169663,Me Pa Ra (Lower),မဲပရ (အောက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169662,Me Pa Ra (Upper),မဲပရ (အထက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169667,Me Tha Hpon (Lower),မဲသဖုံ (အောက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169666,Me Tha Hpon (Upper),မဲသဖုံ (အထက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169664,Saw Khee Khoet,​စောခီးခို့
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002064,Me Pa Ra,169665,Tha Nin Tha Yaw,သနင်သရော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169455,Baw Baw Khee,ဘောဘောခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,220070,Htee Ka Ne,ထီးကနဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,220069,Htee Kha Lo Thaw,ထီးခလိုးသော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169457,Htee Kyar Ya,ထီးကြားရ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169458,Htee Me Paw,ထီးမဲပေါ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169453,Htee Pa Lo Hta,ထီးပလိုထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169460,Kawt Kay Tar,ကော့ကေတာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169451,Kyaw Ta Li Kho,ကျော်တလိခို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169456,Me Ka Taw Khee,မဲကတောခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169459,Me Paw,မဲပေါ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169450,Me Tha Mu,မဲသမူ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169454,Shan Ywar Thit,ရှမ်းရွာသစ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002022,Me Tha Mu,169452,Ta Yee Hpoe Kwee,တရီးဖိုးကွီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169690,Htee War Mi,ထီးဝါးမီ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169686,Mi Kyaung,မိကြောင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169687,Ta Nyin Kone,တညင်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169691,Taung Moe Lar Hta,တောင်မိုးလာထ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169689,Taung Moe Lar Khee,တောင်မိုးလာခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002068,Mi Kyaung,169688,Taw Aye Hpaw,တော်အေးဖော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169571,Hpar Kat,ဖါးကပ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169568,Kwee Thaw Khei,ကွီးသောခယ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169567,Law Saw Day,လော်စောဒေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169565,Me Tha,မဲသ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169562,Moe Naing (Lower),မိုးနိုင်းအောက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169563,Moe Naing (South),မိုးနိုင်း (တောင်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169572,Moe Naing (Taung Ku Lar Su),မိုးနိုင်း (တောင်ကုလားစု)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169566,Moe Naing Gyi,မိုးနိုင်းကြီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169569,Moe Naing Hpa Yar Chay Yin,မိုးနိုင်းဘုရားခြေရင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169564,Noe Hpoe Khee,နိုးဖိုးခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002046,Moe Naing,169570,Nyar Ma Yaw,ညာမရော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002033,Mya Lay,169515,Ah Lan,အလန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002033,Mya Lay,169518,Kyun Hteik Ywar Gyi (Mya Lay),ကျွန်းထိပ်ရွာကြီး (မြလေး)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002033,Mya Lay,169516,Kyun Hteik Ywar Lay,ကျွန်းထိပ်ရွာလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002033,Mya Lay,169517,Ywar Thar Aye,ရွာသာအေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002048,Naung Boe Gyi,169578,Naung Boe Gyi,နောင်ဘိုးကြီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002048,Naung Boe Gyi,169579,Shwe Pyi Kone,ရွှေပြည်ကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002048,Naung Boe Gyi,169580,Thone Ein Su,သုံးအိမ်စု
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002045,Naung Kha Lone,169560,Naung Kha Lone,နောင်ခလုံး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002045,Naung Kha Lone,169561,Pyin Nyar Pa Li,ပညာပလီ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169621,Ahr Ku Ka Yaung,အာကုကရောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169616,Kawt Hta Yaung,ကော့ထရောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169617,Kyaung Taw,ကြောင်တော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169619,Naung Kha Yein,နောင်ခရိန်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169620,Naung Taing,နောင်တိုင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169618,Thai Boke,ထိုင်ဘုတ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002056,Naung Khwee,169615,Ywar Ma-Naung Khwee,ရွာမ-နောင်ခွီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002051,Naung Mya Lwe,169590,Naung Mya Lwe,နောင်မြလွဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002051,Naung Mya Lwe,169592,Naw Naing Kyon,နောနိုင်ကျုံ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002051,Naung Mya Lwe,169591,Thone Ein Su,သုံးအိမ်စု
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002004,Naung Taing,169371,Ka Laung Kyaw,ကလောင်ကျော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002004,Naung Taing,169370,Khu Baing,ခုဘိုင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002004,Naung Taing,169368,Me Sa Meik,မဲဆမိတ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002004,Naung Taing,169367,Naung Taing,နောင်တိုင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002004,Naung Taing,169369,Ywar Kaing Kaung,ရွာကိုင်းကောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002014,Naung Tha Nge,169414,Kyun Gyi Kone,ကျွန်းကြီးကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002014,Naung Tha Nge,169413,Naung Tha Nge,နောင်သငဲ့
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002014,Naung Tha Nge,169415,Shan Kone,ရှမ်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002041,Naw Kaw,169547,Hpa Yar Ngoke To,ဘုရားငုတ်တို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002041,Naw Kaw,169549,Let Khat,လက်ခတ်
